@RELATION possessions

@ATTRIBUTE ID string
@ATTRIBUTE left5 string
@ATTRIBUTE left4 string
@ATTRIBUTE left3 string
@ATTRIBUTE left2 string
@ATTRIBUTE left1 string
@ATTRIBUTE left_bigram string
@ATTRIBUTE left_bigram_pos string
@ATTRIBUTE left_trigram string
@ATTRIBUTE left_trigram_pos string
@ATTRIBUTE left5 role
@ATTRIBUTE left4 role
@ATTRIBUTE left3 role
@ATTRIBUTE left2 role
@ATTRIBUTE left1 role
@ATTRIBUTE right1 string
@ATTRIBUTE right2 string
@ATTRIBUTE right3 string
@ATTRIBUTE right4 string
@ATTRIBUTE right5 string
@ATTRIBUTE right_bigram string
@ATTRIBUTE right_bigram_pos string
@ATTRIBUTE right_trigram string
@ATTRIBUTE right_trigram_pos string
@ATTRIBUTE neighbor_sentence string
@ATTRIBUTE possessive_pronoun numeric
@ATTRIBUTE jj_near numeric
@ATTRIBUTE low_category string
@ATTRIBUTE top_category string
@ATTRIBUTE word string
@ATTRIBUTE class {non_possession,possession}

@DATA
"1_0_0", "", "", "", "", "","","","","","", "", "", "", "", "NNP", "", "", "", "", "", "", "", "", "_no_", 0, 0, "", "", "date", non_possession
"1_3_9","PRP$","VB","CC","VB","PRP","","","cc","conj","poss", "me_grow grow_and and_change change_my", "PRP_VB VB_CC CC_VB VB_PRP$", "me_grow_and grow_and_change and_change_my", "PRP_VB_CC VB_CC_VB CC_VB_PRP$", "", "", "", "", "", "", "", "", "", "me grow and change my", 1, 0, "", "", "life", non_possession
"1_4_1","IN", "", "", "", "","","","","","mark", "", "", "", "", "NNP", "NNP", "VBZ", "", "", "Tomic__no_ _no__comments", "NNP_NNP NNP_VBZ", "Tomic__no__comments", "NNP_NNP_VBZ", "by Tomic _no_ comments", 0, 0, "", "", "Igor", non_possession
"1_4_2","NNP","IN", "", "", "","","","","mark","compmod", "by_Igor", "IN_NNP", "", "", "NNP", "VBZ", "", "", "", "_no__comments", "NNP_VBZ", "", "", "by Igor _no_ comments", 0, 0, "", "", "Tomic", non_possession
"1_5_1","JJ", "", "", "", "","","","","","amod", "", "", "", "", "VBZ", "TO", "VB", "DT", "NN", "is_to to_take take_a a_journey", "VBZ_TO TO_VB VB_DT DT_NN", "is_to_take to_take_a take_a_journey", "VBZ_TO_VB TO_VB_DT VB_DT_NN", "“To is to take a journey", 0, 1, "", "", "travel", non_possession
"1_5_6","DT","VB","TO","VBZ","NN","nsubj","ROOT","aux","xcomp","det", "travel_is is_to to_take take_a", "NN_VBZ VBZ_TO TO_VB VB_DT", "travel_is_to is_to_take to_take_a", "NN_VBZ_TO VBZ_TO_VB TO_VB_DT", "IN", "PRP", "", "", "", "into_yourself", "IN_PRP", "", "", "travel is to take a into yourself", 0, 0, "", "", "journey", non_possession
"1_5_12", "", "", "", "", "","","","","","", "", "", "", "", "NNP", "", "", "", "", "", "", "", "", "Kaye", 0, 0, "", "", "Danny", non_possession
"1_5_13","NNP", "", "", "", "","","","","","compmod", "", "", "", "", "", "", "", "", "", "", "", "", "", "Danny", 0, 0, "", "", "Kaye", non_possession
"1_6_48","VBN","WDT","CD","DT","TO","","","num","","", "to_the the_one one_that that_left", "TO_DT DT_CD CD_WDT WDT_VBN", "to_the_one the_one_that one_that_left", "TO_DT_CD DT_CD_WDT CD_WDT_VBN", "", "", "", "", "", "", "", "", "", "to the one that left", 0, 0, "Home", "Home", "home", possession
"1_6_4","JJ","PRP$","VBZ","DT", "","","nsubj","ROOT","poss","amod", "This_is is_my my_sixth", "DT_VBZ VBZ_PRP$ PRP$_JJ", "This_is_my is_my_sixth", "DT_VBZ_PRP$ VBZ_PRP$_JJ", "", "", "", "", "", "", "", "", "", "This is my sixth", 1, 1, "", "", "life", non_possession
"1_6_17","JJ","DT","TO","VBP","PRP","nsubj","ROOT","aux","xcomp","amod", "we_move move_to to_a a_new", "PRP_VBP VBP_TO TO_DT DT_JJ", "we_move_to move_to_a to_a_new", "PRP_VBP_TO VBP_TO_DT TO_DT_JJ", "RB", "IN", "NNS", "RB", "PRP", "especially_if if_it’s it’s_abroad abroad_it", "RB_IN IN_NNS NNS_RB RB_PRP", "especially_if_it’s if_it’s_abroad it’s_abroad_it", "RB_IN_NNS IN_NNS_RB NNS_RB_PRP", "we move to a new especially if it’s abroad it", 0, 1, "", "", "city", non_possession
"1_6_21","IN","RB","NN","JJ","DT","xcomp","amod","dobj","advmod","adpmod", "a_new new_city city_especially especially_if", "DT_JJ JJ_NN NN_RB RB_IN", "a_new_city new_city_especially city_especially_if", "DT_JJ_NN JJ_NN_RB NN_RB_IN", "RB", "PRP", "RB", "VBZ", "IN", "abroad_it it_often often_feels feels_like", "RB_PRP PRP_RB RB_VBZ VBZ_IN", "abroad_it_often it_often_feels often_feels_like", "RB_PRP_RB PRP_RB_VBZ RB_VBZ_IN", "a new city especially if abroad it often feels like", 0, 0, "", "", "it’s", non_possession
